n,dataset_idx,num_columns,mse,abse,bool_error,trial,gaussian_imse
500,imputed_baseline,,0.8997986989513653,0.725090855174297,0.5596666666666666,20,-1.0
500,rw_imputed_baseline,,0.8985749967456911,0.7244223015811537,0.5595,20,-1.0
500,0,37.0,0.9411178867985688,0.7508685086476042,0.5716666666666667,21,-1.0
500,1,36.0,0.9706672841316948,0.7766554438497482,0.6075,21,-1.0
500,2,35.0,1.086234182395689,0.7781399264309435,0.5823333333333334,21,-1.0
500,3,30.0,0.9451662768796838,0.7532617992624958,0.5703333333333334,21,-1.0
500,4,27.0,1.6521053920513271,0.7625326655628878,0.5595,21,-1.0
500,agg,,0.8844913861347387,0.7281591077943892,0.562,21,-1.0
500,naive_agg,,0.8963880329169215,0.729344142946723,0.5573333333333333,21,-1.0
500,opt_naive_agg,,0.9227190349662976,0.7307300755265415,0.5568333333333333,21,-1.0
500,imputed_baseline,,2.589917417137566,0.7377192168137274,0.5593333333333333,21,-1.0
500,rw_imputed_baseline,,2.4576661222690577,0.7371934547939121,0.5575,21,-1.0
500,0,37.0,0.9974621817581286,0.772921962909714,0.5778333333333333,22,-1.0
500,1,36.0,1.1055155734446611,0.7737209894449106,0.5898333333333333,22,-1.0
500,2,35.0,1.0681201279699997,0.7925238127498229,0.597,22,-1.0
500,3,30.0,1.7560781230093798,0.8448128792586155,0.625,22,-1.0
500,4,27.0,1.8084081017619504,0.7790345189869422,0.5665,22,-1.0
500,agg,,0.9166242238242732,0.736127840982697,0.5601666666666667,22,-1.0
500,naive_agg,,0.9236841323313908,0.7349274625151978,0.547,22,-1.0
500,opt_naive_agg,,0.9989953306431324,0.7372228833952215,0.5565,22,-1.0
500,imputed_baseline,,0.8732031204794858,0.722561031531252,0.5596666666666666,22,-1.0
500,rw_imputed_baseline,,0.8737557611111528,0.7223021098779473,0.5585,22,-1.0
500,0,37.0,1.7158185648583364,0.8325737668890582,0.6078333333333333,23,-1.0
500,1,36.0,1.3220463334729458,0.7819009232476428,0.5835,23,-1.0
500,2,35.0,0.9371913814542804,0.753281461041244,0.5878333333333333,23,-1.0
500,3,30.0,1.0850134247979173,0.8044443472012857,0.5806666666666667,23,-1.0
500,4,27.0,1.372432898742985,0.7723803148168416,0.5683333333333334,23,-1.0
500,agg,,0.8993232038112954,0.7339558909392463,0.5721666666666667,23,-1.0
500,naive_agg,,0.9077001760275312,0.735589792460343,0.571,23,-1.0
500,opt_naive_agg,,0.9093406809563406,0.732749321763878,0.571,23,-1.0
500,imputed_baseline,,0.8868466574168926,0.7350784752823455,0.58,23,-1.0
500,rw_imputed_baseline,,0.8882535793074168,0.7359432779695017,0.5788333333333333,23,-1.0
500,0,37.0,0.9901052671848564,0.7604038574491331,0.5808333333333333,24,-1.0
500,1,36.0,1.18996060291206,0.7879495001855709,0.599,24,-1.0
500,2,35.0,1.1798640393002573,0.8282675075120417,0.6205,24,-1.0
500,3,30.0,1.3941247749483037,0.8694562574042217,0.5958333333333333,24,-1.0
500,4,27.0,1.2200544622247818,0.7644745095942997,0.5626666666666666,24,-1.0
500,agg,,0.9282393769092032,0.7410721261314684,0.5778333333333333,24,-1.0
500,naive_agg,,0.927228422581349,0.7434340495353903,0.5776666666666667,24,-1.0
500,opt_naive_agg,,0.9416066050616444,0.7406189206821597,0.57,24,-1.0
500,imputed_baseline,,0.8672543297005142,0.7198825879148453,0.5653333333333334,24,-1.0
500,rw_imputed_baseline,,0.8664813627392257,0.7195415186074509,0.5643333333333334,24,-1.0
500,0,37.0,1.2225978248185103,0.7890177525641153,0.5855,25,-1.0
500,1,36.0,0.9748300265268536,0.776684900255651,0.5973333333333334,25,-1.0
500,2,35.0,1.793594955011461,0.8531980953985426,0.6265,25,-1.0
500,3,30.0,0.96236960792231,0.7664739504464453,0.5916666666666667,25,-1.0
500,4,27.0,1.3626961406682443,0.7498994782827609,0.5685,25,-1.0
500,agg,,0.928813506481709,0.7359709997132143,0.5646666666666667,25,-1.0
500,naive_agg,,0.9733954368425022,0.7419229945504394,0.5636666666666666,25,-1.0
500,opt_naive_agg,,0.9517080325144454,0.7294529915947421,0.557,25,-1.0
500,imputed_baseline,,0.8681631243635693,0.7220788932188965,0.5608333333333333,25,-1.0
500,rw_imputed_baseline,,0.8653247697164416,0.7204230344439393,0.5605,25,-1.0
500,0,37.0,0.9429267535951836,0.7537420999441587,0.577,26,-1.0
500,1,36.0,0.9008029486058026,0.7425263817315434,0.583,26,-1.0
500,2,35.0,1.0531228558178218,0.7853194934482868,0.5906666666666667,26,-1.0
500,3,30.0,0.9551860403970872,0.7595381529219357,0.5615,26,-1.0
500,4,27.0,1.0538811136782984,0.7448160093237104,0.574,26,-1.0
500,agg,,0.8716843596967417,0.7235847939560993,0.5638333333333333,26,-1.0
500,naive_agg,,0.8764744412562819,0.7260739494990703,0.5576666666666666,26,-1.0
500,opt_naive_agg,,0.8722386263350442,0.722291318083041,0.5563333333333333,26,-1.0
500,imputed_baseline,,0.8779260986120989,0.7268539148486101,0.5676666666666667,26,-1.0
500,rw_imputed_baseline,,0.8755415880646451,0.725624787111834,0.5696666666666667,26,-1.0
500,0,37.0,1.4121032870089405,0.7955897689678373,0.6011666666666666,27,-1.0
500,1,36.0,1.1354548887806826,0.7886667305468745,0.5891666666666666,27,-1.0
500,2,35.0,1.309807514294716,0.8462783946798569,0.6381666666666667,27,-1.0
500,3,30.0,2.229369919909567,0.889439215774172,0.5871666666666666,27,-1.0
500,4,27.0,1.5256881401782538,0.7905303568719856,0.5738333333333333,27,-1.0
500,agg,,0.9860366644501438,0.7526494466176398,0.5693333333333334,27,-1.0
